,Property ID,Postal code,price,Type of property,Construction year,Number of rooms,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
45,20393143,9500,299999,house,1938.0,3.0,235.0,Installed,,,,895.0,2.0,,Good,375.0,Fuel oil,Non flood zone,Yes,575.0
46,20394193,2300,248000,house,1933.0,2.0,225.0,,,,,,3.0,,To renovate,,Gas,,Yes,
47,20394188,9000,299000,apartment,,2.0,86.0,,0.0,,,,,,Just renovated,161.0,Gas,Non flood zone,Yes,661.0
48,20381677,8300,1000000,house,,2.0,144.0,,,,,,,,Good,,,,,
49,20394181,3700,299950,house,1977.0,,140.0,,1.0,,,,,,,259.0,,Non flood zone,Yes,
50,20394180,6240,179000,house,,3.0,206.0,,,,,,2.0,,As new,358.0,,,,416.0
51,20394172,6040,260000,house,,4.0,200.0,Hyper equipped,0.0,,60.0,,2.0,0.0,As new,340.0,Gas,,Yes,700.0
52,20394169,8000,595000,apartment,,2.0,,,,,,,,,Good,175.0,,,,
53,20394157,2845,379000,house,1959.0,3.0,165.0,Hyper equipped,,,,,2.0,,,193.0,Gas,Non flood zone,Yes,
54,20394154,8430,249700,house,2012.0,3.0,80.0,Installed,1.0,,,,,,Good,453.0,,Non flood zone,Yes,683.0
55,20394151,1020,115000,apartment,,1.0,35.0,Semi equipped,0.0,,,,2.0,0.0,To renovate,355.0,Gas,Non flood zone,Yes,294.0
56,20394152,1020,150000,apartment,1913.0,1.0,65.0,Semi equipped,1.0,,2.0,,2.0,,Good,272.0,Electric,Non flood zone,Yes,
57,20394149,3200,279000,house,,2.0,100.0,Installed,0.0,,,,,,Good,244.0,Gas,,,305.0
58,20394144,2140,235000,apartment,1930.0,2.0,76.0,Installed,0.0,,,,,,Good,209.0,Gas,Non flood zone,Yes,569.0
59,20394141,2610,345000,apartment,1975.0,3.0,150.0,Hyper equipped,0.0,,7.0,,2.0,0.0,As new,239.0,Gas,Non flood zone,Yes,1462.0
60,20394134,9000,445000,house,1899.0,3.0,165.0,Installed,,,,,,,Good,323.0,Gas,Non flood zone,Yes,456.0
61,20394130,3000,499000,house,1971.0,4.0,211.0,Installed,0.0,,,,2.0,,To be done up,325.0,Gas,,Yes,1212.0
62,20394123,7730,99000,apartment,1980.0,1.0,52.0,Semi equipped,0.0,,,,2.0,0.0,Good,462.0,Gas,Non flood zone,Yes,
63,20394122,3360,625000,house,2023.0,4.0,213.0,Hyper equipped,0.0,,,,,,Good,29.0,Electric,,Yes,
64,20390590,8450,219000,apartment,1965.0,2.0,66.0,1,0.0,,4.0,,,,Good,193.0,Fuel oil,Non flood zone,Yes,622.0
65,20391690,8500,349000,apartment,2010.0,2.0,110.0,Installed,,,8.0,,2.0,,Good,98.0,Gas,Non flood zone,Yes,1165.0
66,20380875,6900,399000,house,1907.0,5.0,255.0,Installed,,,,672.0,3.0,,Good,203.0,Fuel oil,Non flood zone,,1018.0
67,20393404,9090,278000,apartment,1997.0,2.0,96.0,Installed,0.0,,8.0,,,,Good,88.0,Gas,Non flood zone,Yes,1098.0
68,20393440,8300,699000,apartment,2005.0,2.0,102.0,Installed,,,,,2.0,,Good,68.0,Gas,Non flood zone,Yes,1299.0
69,20393713,9600,750000,apartment,2009.0,2.0,426.0,Hyper equipped,,,10.0,35.0,2.0,,Good,85.0,Gas,,Yes,4079.0
70,20394098,1501,310000,apartment,2022.0,1.0,78.0,,,,15.0,,,,As new,36.0,Gas,Non flood zone,Yes,850.0
71,20394099,1500,475000,house,1995.0,5.0,241.0,,,,,,3.0,,Good,228.0,Gas,Non flood zone,Yes,1581.0
