Property ID,Locality name,Postal code,price,Type of property,Subtype of property,Construction year,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Garden orientation,Number of facades,Swimming pool,State of builing,Energy class,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
20401029,Berchem,2600,299900,apartment,,1965,3,,100,Installed,,,3,,,,,Good,B,144,Fuel oil,Non flood zone,Yes,892
20402124,Temse,9140,285000,apartment,,1976,3,,100,Installed,,,,,,2,,Good,B,131,Gas,Non flood zone,Yes,941
20400229,Aalst,9300,229000,apartment,,2000,2,,86,Installed,,,4,,,2,,Good,A,99,Gas,Non flood zone,Yes,847
20402255,Libramont-chevigny,6800,235000,house,,1900,3,797,156,Semi equipped,0,,,587,,4,0,Good,F,430,Fuel oil,Non flood zone,Yes,718
20402253,Blankenberge,8370,189000,apartment,,,1,,,Hyper equipped,,,1,,,2,0,As new,C,278,Gas,Non flood zone,Yes,768
20402250,Antwerpen,2020,226000,apartment,,1965,3,,93,Semi equipped,,,10,,,3,,To be done up,B,166,Gas,,,
20402249,Beervelde,9080,550000,house,,1970,4,1000,320,Semi equipped,,1,,,,4,,To renovate,E,417,Gas,Non flood zone,,1276
20338557,Huldenberg,3040,674000,house,,2024,4,1064,193,,,,,,,3,,,A,20,,Non flood zone,Yes,
20402248,Oost-vlaanderen,9940,225000,house,,,2,293,,1,0,,,217,,4,,,F,742,,Non flood zone,Yes,
20402246,Geer,4250,215000,house,,,3,969,160,1,,,20,850,,4,,To renovate,E,,Fuel oil,Non flood zone,Yes,466
20289045,Vilvoorde,1800,322101,apartment,,,2,,100,,,,17,,,,,,A,,,,Yes,
20289567,Vilvoorde,1800,339552,apartment,,,3,,125,,,,12,,,,,,A,,,,Yes,
20232847,Li%c3%88ge,4000,199000,house,,,3,49,97,Installed,,,,,,2,,,C,190,Gas,,Yes,550
20402233,Fl%c3%a9malle,4400,215000,house,,,3,428,160,,0,,10,,,3,,,D,323,Gas,,Yes,1
20402229,Roeselare,8800,235000,house,,,3,240,165,1,,,,,,,,To restore,F,565,Gas,,Yes,659
20402228,Wevelgem,8560,225000,house,,,3,541,184,,,,,,,,,Good,F,728,,Non flood zone,Yes,
20402227,Edegem,2650,229000,apartment,,1970,2,,83,Semi equipped,,,,51,,2,,,C,208,Gas,Non flood zone,,
20402221,Neder-over-heembeek%20%28bru.%29,1120,295000,apartment,,1974,2,,95,Semi equipped,,,32,,,2,,To be done up,F,344,,,,
20402219,Archennes,1390,675000,house,,,3,3484,190,Semi equipped,,1,100,,,4,,To renovate,D,340,Fuel oil,,Yes,2607
20402218,Plombi%c3%a8res%20moresnet,4850,395359,house,,2024,3,475,168,Not installed,0,,40,370,,2,0,As new,A,,Gas,Possible flood zone,Yes,
20402215,Genk,3600,239000,apartment,,1991,2,,93,,0,,,,,2,0,,B,198,Electric,,Yes,924
20402214,Roeselare%20%28roeselare%29,8800,468990,apartment,,2024,3,,123,,0,,46,,,3,0,Good,Not specified,,,,No,1
20326253,Fl%c3%a9malle,4400,215000,house,,,3,428,160,,0,,10,,,3,,,D,323,Gas,,Yes,1
20402212,Ixelles,1050,418000,apartment,,,2,,92,Hyper equipped,0,,,,,3,0,Good,D,159,Gas,Non flood zone,,655
20402211,Trazegnies,6183,139000,house,,,2,220,105,,,,,,,2,,To be done up,F,478,Gas,,Yes,401
20402208,Courcelles,6182,295000,house,,,3,755,150,Installed,,,1,600,,2,0,Good,C,229,Gas,,Yes,431
20397772,Ixelles,1050,695000,apartment,,1932,2,,150,Installed,0,,,,,2,0,Just renovated,E,236,Gas,Non flood zone,Yes,2000
20401109,Tremelo,3120,319000,house,,1956,3,500,185,Semi equipped,,,20,260,West,,,To renovate,E,499,Fuel oil,Non flood zone,Yes,903
20399686,Ronse,9600,370000,house,,2020,3,606,150,Installed,,,,360,South,3,,Good,A,67,Gas,Non flood zone,Yes,791
20401344,Middelkerke,8430,115000,apartment,,1969,1,,26,Semi equipped,1,,,,,2,,Just renovated,C,265,Gas,Non flood zone,Yes,327
20401336,Ronse,9600,230000,apartment,,1952,2,,128,Installed,,,4,,,3,,Just renovated,D,326,Fuel oil,Non flood zone,Yes,857
20398282,Forest,1190,215000,apartment,,1964,1,,63,Not installed,0,,5,,,2,0,To renovate,E,215,Gas,Non flood zone,Yes,
20396673,Gent,9000,435000,apartment,,1759,1,,67,Installed,,,15,31,,,,Good,A,78,Gas,Non flood zone,Yes,
20401180,Oupeye,4683,149000,house,,1850,4,730,134,Installed,0,,40,570,,2,0,To be done up,C,220,Gas,Non flood zone,Yes,366
20401037,Hoboken,2660,349900,house,,1960,3,206,136,1,,,16,25,North,,,To renovate,F,534,,Non flood zone,Yes,959
20397088,Koekelberg,1081,325000,apartment,,1967,3,,151,Installed,0,,7,,,2,0,Good,D,208,Fuel oil,Non flood zone,Yes,1891
20393411,Antwerpen-2000,2000,498500,apartment,,2017,2,,129,Hyper equipped,0,,10,1400,South West,,,As new,A,61,Gas,Non flood zone,Yes,1190
20394756,Kluisbergen,9690,179000,house,,1965,3,435,160,Semi equipped,,,,380,South East,3,,To renovate,E,422,Gas,Non flood zone,Yes,
20402204,Nismes,5670,39000,house,,,1,35,58,Semi equipped,0,,,,,2,,,G,857,Wood,,No,138
20402205,Jumet%20%28charleroi%29,6040,188000,house,,1963,2,444,73,Installed,0,,73,,,2,,,G,721,Gas,,No,1714
20402195,Anderlecht,1070,325000,apartment,,1958,3,,132,Installed,0,,3,,,3,,,Not specified,,Gas,,Yes,
20356543,Amay,4540,200000,house,,,5,,223,,,,,,,,,,G,539,,,,
20366637,Jumet,6040,199990,house,,,5,,,Hyper equipped,,,,,,2,,,C,220,,Non flood zone,Yes,669
20402194,Stekene,9190,385000,apartment,,2024,2,,122,Installed,,,25,,,3,,,B,133,Gas,Non flood zone,,
20402191,Charleroi%20marcinelle,6001,120000,apartment,,1966,4,,120,Semi equipped,0,,,,,4,0,Good,D,327,Fuel oil,Non flood zone,,
20402189,Roeselare%20%28roeselare%29,8800,258250,apartment,,2024,2,,83,,0,,11,,,2,0,Good,Not specified,,,,No,1
20402182,Oostende,8400,289000,apartment,,,2,,134,,1,,4,,,,,As new,B,139,,,,
20402181,H%c3%89ron,4217,850000,house,,1874,4,26733,690,Hyper equipped,,,,,,2,,To renovate,F,505,Pellet,Non flood zone,Yes,766
20402179,Westerlo,2260,439000,house,,1988,3,755,120,,,,,,,4,,Good,C,209,Gas,,Yes,
20402177,Hechtel-eksel,3941,549000,house,,1987,4,1376,285,Hyper equipped,,,,,,4,,As new,B,194,Gas,,,
20402176,Courcelles,6180,249000,house,,,3,1098,148,Installed,0,,,800,,2,0,Good,E,409,Fuel oil,Non flood zone,Yes,540
20402170,Tubize,1480,215000,apartment,,1969,2,,85,Installed,0,,,,,,0,Good,C,204,,,Yes,1041
20402166,Florennes%20morialm%c3%a9,5621,234000,house,,,3,,135,Installed,0,,,,,2,0,Good,E,349,Pellet,,Yes,498
20402164,Rumbeke,8800,719795,house,,,4,764,,,,,,,,4,,As new,Not specified,,,Non flood zone,,
20397989,Charleroi%20dampremy,6020,120000,house,,,3,50,120,,0,,,,,3,,To be done up,F,448,,,,
20402156,Deinze,9800,319000,house,,2007,3,160,121,Installed,,,,,,2,,Good,B,168,Gas,,Yes,338
20402157,Oudenaarde,9700,397000,house,,2023,3,401,160,Hyper equipped,,,,,,4,,,Not specified,,,Non flood zone,Yes,
20402155,Jette,1090,242500,apartment,,,2,,,Semi equipped,,,,,,,0,Good,G,666,,,,
20402145,Geraardsbergen,9500,489000,house,,,5,631,238,Hyper equipped,,,,,,3,,,A,9,,,Yes,
20402147,Geraardsbergen,9500,399000,house,,,4,266,256,Installed,,,,,,2,,As new,B,173,Gas,,Yes,
20402144,Geraardsbergen,9500,275000,house,,,4,240,199,Installed,,,46,234,South West,3,,Good,F,834,Electric,,Yes,644
20402143,Herne,1540,475000,house,,1978,3,592,228,Installed,,,,,,4,,As new,B,188,Gas,,Yes,
20394069,Tienen,3300,184000,apartment,,1972,2,,81,1,,,22,,,4,,To renovate,C,202,Gas,Non flood zone,Yes,755
20393142,Ninove,9400,299000,apartment,,2006,3,,153,Installed,,,6,,,2,,Good,A,92,Fuel oil,Non flood zone,Yes,1054
20400912,Grimbergen,1850,710000,house,,1990,4,1230,184,Installed,,,,1000,,4,,Good,B,116,,Non flood zone,Yes,2015
20401968,Blankenberge,8370,285000,apartment,,2008,2,,77,Installed,,,,,,2,,Good,A,75,Gas,Non flood zone,Yes,876
20401547,Antwerpen,2000,319000,apartment,,1955,1,,85,Installed,,,,,,2,,As new,D,355,Gas,Non flood zone,Yes,548
20400089,Ooigem,8710,259000,house,,1930,3,176,223,Installed,,,,104,,,,Good,C,259,Gas,Non flood zone,Yes,322
20401856,Lessen,7860,279500,house,,,3,300,180,Installed,,,35,300,,2,,To be done up,D,285,Gas,Non flood zone,Yes,562
20397633,Grembergen,9200,278000,apartment,,1974,2,,165,Installed,,,30,30,East,4,,Good,C,224,Gas,Non flood zone,Yes,
20400653,Bornem,2880,359000,house,,1958,3,516,171,Installed,,,20,,,,,To be done up,F,858,,Non flood zone,Yes,752
20400192,Sint-gillis-waas,9170,525000,house,,1993,3,886,286,Hyper equipped,,,14,728,,4,,Good,D,337,,Non flood zone,Yes,1618
20394068,Brussel,1000,210000,apartment,,2013,1,,59,Installed,1,,3,,,2,,Good,E,234,Electric,Possible flood zone,Yes,920
20394202,Turnhout,2300,299000,apartment,,2006,3,,114,Semi equipped,,,4,,,,,Good,B,147,Gas,Non flood zone,Yes,
20401486,Saint-josse-ten-noode,1210,159000,apartment,,1954,1,,50,Semi equipped,0,,,,,2,0,To renovate,G,,Gas,Non flood zone,Yes,
20402141,Geraardsbergen,9500,150000,house,,,3,70,109,,,,,,,2,,Good,E,434,,,,
20402142,Geraardsbergen,9500,299000,house,,1960,3,835,136,,,,,,,4,,Good,D,391,,,Yes,525
20402148,Lessen,7860,235000,apartment,,,2,,111,Installed,,,,,,2,,Good,C,244,,,,
20402140,Geraardsbergen,9500,175000,apartment,,,4,,179,,,,,,,,,To be done up,D,319,Gas,,Yes,
20402139,Ninove,9400,325000,house,,,3,426,181,Installed,,,,,,3,,Good,D,350,,,Yes,
20402146,Geraardsbergen,9500,150000,house,,,3,120,151,Installed,,,,,,2,,To be done up,F,608,Gas,,Yes,
20402137,Suarl%c3%89e,5020,449000,house,,1934,3,2014,180,Installed,,1,,,,4,,Just renovated,D,333,Fuel oil,,Yes,738
20402136,Dinant,5500,159000,house,,1874,2,124,116,Hyper equipped,,,8,124,,2,,,D,272,Gas,,Yes,267
20402134,Waasmunster,9250,429000,house,,1975,3,291,185,Installed,0,,,,,3,,Good,C,225,Fuel oil,Non flood zone,Yes,999
20402133,Roeselare%20%28roeselare%29,8800,315012,apartment,,2024,2,,92,,0,,11,,,2,0,Good,Not specified,,,,No,1
20402132,Roeselare%20%28roeselare%29,8800,540946,apartment,,2024,3,,138,,0,,11,,,2,0,Good,Not specified,,,,No,1
20337649,Flemalle,4400,249000,house,,1976,3,717,122,1,0,,,,,4,0,,D,328,Fuel oil,Non flood zone,Yes,934
