,Property ID,Postal code,price,Type of property,Construction year,Number of rooms,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
40,20402195,1070,325000,apartment,1958.0,3.0,132.0,Installed,0.0,,3.0,,3.0,,,,Gas,,Yes,
41,20356543,4540,200000,house,,5.0,223.0,,,,,,,,,539.0,,,,
42,20366637,6040,199990,house,,5.0,,Hyper equipped,,,,,2.0,,,220.0,,Non flood zone,Yes,669.0
43,20402194,9190,385000,apartment,2024.0,2.0,122.0,Installed,,,25.0,,3.0,,,133.0,Gas,Non flood zone,,
44,20402191,6001,120000,apartment,1966.0,4.0,120.0,Semi equipped,0.0,,,,4.0,0.0,Good,327.0,Fuel oil,Non flood zone,,
45,20402189,8800,258250,apartment,2024.0,2.0,83.0,,0.0,,11.0,,2.0,0.0,Good,,,,No,1.0
46,20402182,8400,289000,apartment,,2.0,134.0,,1.0,,4.0,,,,As new,139.0,,,,
47,20402181,4217,850000,house,1874.0,4.0,690.0,Hyper equipped,,,,,2.0,,To renovate,505.0,Pellet,Non flood zone,Yes,766.0
48,20402179,2260,439000,house,1988.0,3.0,120.0,,,,,,4.0,,Good,209.0,Gas,,Yes,
49,20402177,3941,549000,house,1987.0,4.0,285.0,Hyper equipped,,,,,4.0,,As new,194.0,Gas,,,
50,20402176,6180,249000,house,,3.0,148.0,Installed,0.0,,,800.0,2.0,0.0,Good,409.0,Fuel oil,Non flood zone,Yes,540.0
51,20402170,1480,215000,apartment,1969.0,2.0,85.0,Installed,0.0,,,,,0.0,Good,204.0,,,Yes,1041.0
52,20402166,5621,234000,house,,3.0,135.0,Installed,0.0,,,,2.0,0.0,Good,349.0,Pellet,,Yes,498.0
53,20402164,8800,719795,house,,4.0,,,,,,,4.0,,As new,,,Non flood zone,,
54,20397989,6020,120000,house,,3.0,120.0,,0.0,,,,3.0,,To be done up,448.0,,,,
55,20402156,9800,319000,house,2007.0,3.0,121.0,Installed,,,,,2.0,,Good,168.0,Gas,,Yes,338.0
56,20402157,9700,397000,house,2023.0,3.0,160.0,Hyper equipped,,,,,4.0,,,,,Non flood zone,Yes,
57,20402155,1090,242500,apartment,,2.0,,Semi equipped,,,,,,0.0,Good,666.0,,,,
58,20402145,9500,489000,house,,5.0,238.0,Hyper equipped,,,,,3.0,,,9.0,,,Yes,
59,20402147,9500,399000,house,,4.0,256.0,Installed,,,,,2.0,,As new,173.0,Gas,,Yes,
60,20402144,9500,275000,house,,4.0,199.0,Installed,,,46.0,234.0,3.0,,Good,834.0,Electric,,Yes,644.0
61,20402143,1540,475000,house,1978.0,3.0,228.0,Installed,,,,,4.0,,As new,188.0,Gas,,Yes,
62,20394069,3300,184000,apartment,1972.0,2.0,81.0,1,,,22.0,,4.0,,To renovate,202.0,Gas,Non flood zone,Yes,755.0
63,20393142,9400,299000,apartment,2006.0,3.0,153.0,Installed,,,6.0,,2.0,,Good,92.0,Fuel oil,Non flood zone,Yes,1054.0
64,20400912,1850,710000,house,1990.0,4.0,184.0,Installed,,,,1000.0,4.0,,Good,116.0,,Non flood zone,Yes,2015.0
65,20401968,8370,285000,apartment,2008.0,2.0,77.0,Installed,,,,,2.0,,Good,75.0,Gas,Non flood zone,Yes,876.0
66,20401547,2000,319000,apartment,1955.0,1.0,85.0,Installed,,,,,2.0,,As new,355.0,Gas,Non flood zone,Yes,548.0
67,20400089,8710,259000,house,1930.0,3.0,223.0,Installed,,,,104.0,,,Good,259.0,Gas,Non flood zone,Yes,322.0
68,20401856,7860,279500,house,,3.0,180.0,Installed,,,35.0,300.0,2.0,,To be done up,285.0,Gas,Non flood zone,Yes,562.0
69,20397633,9200,278000,apartment,1974.0,2.0,165.0,Installed,,,30.0,30.0,4.0,,Good,224.0,Gas,Non flood zone,Yes,
70,20400653,2880,359000,house,1958.0,3.0,171.0,Installed,,,20.0,,,,To be done up,858.0,,Non flood zone,Yes,752.0
71,20400192,9170,525000,house,1993.0,3.0,286.0,Hyper equipped,,,14.0,728.0,4.0,,Good,337.0,,Non flood zone,Yes,1618.0
72,20394068,1000,210000,apartment,2013.0,1.0,59.0,Installed,1.0,,3.0,,2.0,,Good,234.0,Electric,Possible flood zone,Yes,920.0
73,20394202,2300,299000,apartment,2006.0,3.0,114.0,Semi equipped,,,4.0,,,,Good,147.0,Gas,Non flood zone,Yes,
74,20401486,1210,159000,apartment,1954.0,1.0,50.0,Semi equipped,0.0,,,,2.0,0.0,To renovate,,Gas,Non flood zone,Yes,
75,20402141,9500,150000,house,,3.0,109.0,,,,,,2.0,,Good,434.0,,,,
76,20402142,9500,299000,house,1960.0,3.0,136.0,,,,,,4.0,,Good,391.0,,,Yes,525.0
77,20402148,7860,235000,apartment,,2.0,111.0,Installed,,,,,2.0,,Good,244.0,,,,
78,20402140,9500,175000,apartment,,4.0,179.0,,,,,,,,To be done up,319.0,Gas,,Yes,
79,20402139,9400,325000,house,,3.0,181.0,Installed,,,,,3.0,,Good,350.0,,,Yes,
80,20402146,9500,150000,house,,3.0,151.0,Installed,,,,,2.0,,To be done up,608.0,Gas,,Yes,
81,20402137,5020,449000,house,1934.0,3.0,180.0,Installed,,1.0,,,4.0,,Just renovated,333.0,Fuel oil,,Yes,738.0
82,20402136,5500,159000,house,1874.0,2.0,116.0,Hyper equipped,,,8.0,124.0,2.0,,,272.0,Gas,,Yes,267.0
83,20402134,9250,429000,house,1975.0,3.0,185.0,Installed,0.0,,,,3.0,,Good,225.0,Fuel oil,Non flood zone,Yes,999.0
84,20402133,8800,315012,apartment,2024.0,2.0,92.0,,0.0,,11.0,,2.0,0.0,Good,,,,No,1.0
85,20402132,8800,540946,apartment,2024.0,3.0,138.0,,0.0,,11.0,,2.0,0.0,Good,,,,No,1.0
86,20337649,4400,249000,house,1976.0,3.0,122.0,1,0.0,,,,4.0,0.0,,328.0,Fuel oil,Non flood zone,Yes,934.0
87,20402131,5620,230000,house,2008.0,1.0,108.0,1,0.0,,,,4.0,,,319.0,Gas,Non flood zone,Yes,638.0
88,20402130,4500,119000,house,1850.0,3.0,60.0,,0.0,,,,2.0,,,498.0,Gas,Non flood zone,Yes,213.0
89,20402126,4000,219000,house,,3.0,155.0,Hyper equipped,,,23.0,,2.0,,To restore,75028.0,Fuel oil,,Yes,949.0
90,20402125,2480,329000,house,1973.0,4.0,227.0,USA installed,,,,,3.0,,As new,190.0,Gas,Non flood zone,Yes,916.0
92,20402123,1150,520000,house,,3.0,140.0,,,,,,,,,354.0,,,,
93,20402122,8820,475000,house,,6.0,,,,,,,,,Good,,Gas,,Yes,1318.0
94,20402117,8800,257540,apartment,2024.0,1.0,75.0,,0.0,,11.0,,2.0,0.0,Good,,,,No,1.0
95,11010004,3270,304000,apartment,2023.0,2.0,91.0,Semi equipped,,,15.0,,,,,,Gas,Non flood zone,Yes,
96,11083320,5070,235000,apartment,,2.0,103.0,USA installed,,,8.0,,3.0,,Just renovated,,,Non flood zone,Yes,
97,10978815,3940,329000,house,,3.0,230.0,,,,,,4.0,,To renovate,538.0,,Non flood zone,,
98,20402113,2490,499000,house,,5.0,250.0,,,,,,4.0,,Just renovated,142.0,Gas,,Yes,
99,20402112,2580,299000,house,1954.0,4.0,245.0,,,,,,,,To be done up,453.0,Fuel oil,Non flood zone,Yes,976.0
100,20402111,1980,585000,house,,3.0,350.0,Installed,,,100.0,,4.0,,Good,208.0,,Non flood zone,,1007.0
101,20402110,3190,330000,house,1970.0,2.0,193.0,Semi equipped,,,,,4.0,,To renovate,775.0,Fuel oil,Non flood zone,,
102,20402107,1070,367000,apartment,2018.0,3.0,99.0,1,,,20.0,,,,Good,117.0,Gas,,Yes,1342.0
103,20397657,2570,565000,house,1953.0,3.0,200.0,Installed,,,50.0,760.0,,,Just renovated,148.0,Gas,Non flood zone,Yes,1297.0
104,20400913,9308,239000,apartment,1980.0,2.0,92.0,Installed,,,,,2.0,,Good,134.0,Gas,Non flood zone,,733.0
105,20399303,2850,245000,apartment,1996.0,2.0,115.0,Semi equipped,,,,,2.0,,Good,250.0,Gas,Non flood zone,Yes,723.0
106,20401126,2800,398000,house,1899.0,3.0,119.0,Installed,,,7.0,54.0,2.0,,Good,390.0,Gas,Non flood zone,Yes,543.0
107,20398884,9890,647000,house,2011.0,4.0,212.0,,0.0,,39.0,,3.0,,Good,3.0,,Non flood zone,Yes,741.0
108,20397124,8370,199000,apartment,2004.0,1.0,55.0,Installed,,,,,,,Good,123.0,Gas,Non flood zone,Yes,710.0
109,20393997,1060,265000,apartment,1960.0,2.0,63.0,Not installed,,,,,2.0,0.0,Just renovated,419.0,,Non flood zone,,
110,20397881,9700,255000,house,1940.0,4.0,182.0,1,0.0,,,,2.0,,Good,493.0,Gas,Non flood zone,Yes,535.0
111,20399652,9200,215000,apartment,1992.0,1.0,84.0,Installed,,,4.0,,2.0,,Good,116.0,Gas,Non flood zone,Yes,875.0
112,20399640,2610,249900,apartment,1960.0,2.0,80.0,Semi equipped,,,11.0,,2.0,,To be done up,117.0,Gas,Non flood zone,Yes,
