Property ID,Locality name,Postal code,price,Type of property,Subtype of property,Construction year,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Garden orientation,Number of facades,Swimming pool,State of builing,Energy class,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
20394193,Turnhout,2300,248000,house,,1933,2,,225,,,,,,,3,,To renovate,E,,Gas,,Yes,
20394188,Gent,9000,299000,apartment,,,2,,86,,0,,,,,,,Just renovated,B,161,Gas,Non flood zone,Yes,661
20381677,Knokke-heist,8300,1000000,house,,,2,522,144,,,,,,,,,Good,Not specified,,,,,
20394181,Tongeren,3700,299950,house,,1977,,364,140,,1,,,,,,,,C,259,,Non flood zone,Yes,
20394180,Farciennes%20pironchamps,6240,179000,house,,,3,910,206,,,,,,,2,,As new,E,358,,,,416
20394172,Charleroi%20jumet,6040,260000,house,,,4,,200,Hyper equipped,0,,60,,,2,0,As new,D,340,Gas,,Yes,700
20394169,Brugge,8000,595000,apartment,,,2,,,,,,,,,,,Good,B,175,,,,
20394157,Niel,2845,379000,house,,1959,3,179,165,Hyper equipped,,,,,,2,,,B,193,Gas,Non flood zone,Yes,
20394154,Middelkerke,8430,249700,house,,2012,3,158,80,Installed,1,,,,,,,Good,E,453,,Non flood zone,Yes,683
20394151,Bruxelles,1020,115000,apartment,,,1,,35,Semi equipped,0,,,,,2,0,To renovate,G,355,Gas,Non flood zone,Yes,294
20394152,Bruxelles,1020,150000,apartment,,1913,1,,65,Semi equipped,1,,2,,,2,,Good,E,272,Electric,Non flood zone,Yes,
20394149,Aarschot,3200,279000,house,,,2,60,100,Installed,0,,,,,,,Good,C,244,Gas,,,305
20394144,Borgerhout,2140,235000,apartment,,1930,2,,76,Installed,0,,,,,,,Good,C,209,Gas,Non flood zone,Yes,569
20394141,Antwerpen,2610,345000,apartment,,1975,3,,150,Hyper equipped,0,,7,,,2,0,As new,C,239,Gas,Non flood zone,Yes,1462
20394134,Gent,9000,445000,house,,1899,3,1157,165,Installed,,,,,,,,Good,D,323,Gas,Non flood zone,Yes,456
20394130,Leuven,3000,499000,house,,1971,4,300,211,Installed,0,,,,,2,,To be done up,D,325,Gas,,Yes,1212
20394123,Estaimpuis,7730,99000,apartment,,1980,1,,52,Semi equipped,0,,,,,2,0,Good,F,462,Gas,Non flood zone,Yes,
20394122,Bierbeek,3360,625000,house,,2023,4,946,213,Hyper equipped,0,,,,,,,Good,A,29,Electric,,Yes,
20390590,Bredene,8450,219000,apartment,,1965,2,,66,1,0,,4,,,,,Good,B,193,Fuel oil,Non flood zone,Yes,622
20391690,Kortrijk,8500,349000,apartment,,2010,2,,110,Installed,,,8,,,2,,Good,A,98,Gas,Non flood zone,Yes,1165
20380875,Marche-en-famenne-hargimont,6900,399000,house,,1907,5,822,255,Installed,,,,672,South,3,,Good,C,203,Fuel oil,Non flood zone,,1018
20393404,Melle,9090,278000,apartment,,1997,2,,96,Installed,0,,8,,,,,Good,A,88,Gas,Non flood zone,Yes,1098
20393440,Knokke,8300,699000,apartment,,2005,2,,102,Installed,,,,,,2,,Good,A,68,Gas,Non flood zone,Yes,1299
20393713,Ronse,9600,750000,apartment,,2009,2,,426,Hyper equipped,,,10,35,South,2,,Good,A,85,Gas,,Yes,4079
20394098,Buizingen,1501,310000,apartment,,2022,1,,78,,,,15,,,,,As new,A,36,Gas,Non flood zone,Yes,850
20394099,Halle,1500,475000,house,,1995,5,542,241,,,,,,,3,,Good,C,228,Gas,Non flood zone,Yes,1581
